ID,Name,Team,Position,Availability,Selection,EA_Index,Price
181,Marcin Wasilewski,Leicester,Defender,100,5.3,209,3.9
182,Liam Moore,Leicester,Defender,100,1.4,105,3.9
183,Ritchie de Laet,Leicester,Defender,100,0.3,212,4.3
184,Jeffrey Schlupp,Leicester,Defender,100,2.2,307,4.5
185,Paul Konchesky,Leicester,Defender,100,0.6,241,4.4
186,Matthew Upson,Leicester,Defender,100,0.5,34,3.9
187,Daniel Drinkwater,Leicester,Midfielder,100,0.1,149,5.0
188,Dean Hammond,Leicester,Midfielder,100,0.1,79,4.4
189,Matthew James,Leicester,Midfielder,0,0.1,183,4.4
190,Riyad Mahrez,Leicester,Midfielder,100,0.9,431,4.9
191,Anthony Knockaert,Leicester,Midfielder,100,0.1,39,5.0
192,Andy King,Leicester,Midfielder,100,1.6,184,4.2
193,Gary Taylor-Fletcher,Leicester,Midfielder,,0.4,0,4.2
194,Marc Albrighton,Leicester,Midfielder,100,3.1,225,4.3
195,David Nugent,Leicester,Forward,100,0.4,272,4.9
196,Jamie Vardy,Leicester,Forward,100,4.9,442,4.6
197,Chris Wood,Leicester,Forward,100,0.8,15,4.3
198,Jack Barmby,Leicester,Forward,,0.2,0,4.2
199,Jose Reina,Liverpool,Goalkeeper,0,0.0,0,5.5
200,Simon Mignolet,Liverpool,Goalkeeper,100,9.8,384,5.4
201,Martin Kelly,Crystal Palace,Defender,,0.6,297,4.4
202,Glen Johnson,Liverpool,Defender,100,0.7,178,5.2
203,Martin Skrtel,Liverpool,Defender,100,9.1,405,5.9
204,Daniel Agger,Liverpool,Defender,0,0.2,0,5.4
205,José Enrique Sanchez Diaz,Liverpool,Defender,100,0.2,35,4.5
206,Sebastián Coates,Sunderland,Defender,100,0.1,86,4.4
207,Andre Wisdom,West Brom,Defender,100,13.5,208,4.0
208,Conor Coady,Liverpool,Defender,0,0.0,0,4.0
209,Kolo Touré,Liverpool,Defender,100,0.5,84,4.7
210,Jon Flanagan,Liverpool,Defender,0,0.2,0,4.7
211,Mamadou Sakho,Liverpool,Defender,100,0.8,184,5.1
212,Tiago Ilori,Liverpool,Defender,0,0.1,0,4.0
213,Brad Smith,Liverpool,Defender,0,0.0,0,4.0
214,Steven Gerrard,Liverpool,Midfielder,100,4.0,449,8.6
215,Leiva Lucas,Liverpool,Midfielder,100,1.0,220,4.3
216,Jordan Henderson,Liverpool,Midfielder,100,22.0,612,6.6
217,Raheem Sterling,Liverpool,Midfielder,100,28.4,673,8.3
218,Joe Allen,Liverpool,Midfielder,100,0.1,202,4.8
219,Philippe Coutinho,Liverpool,Midfielder,100,9.3,620,7.9
220,Jordon Ibe,Liverpool,Midfielder,100,0.5,92,4.3
221,Jesús Fernández Saez,Liverpool,Midfielder,0,0.0,0,4.7
222,Jordan Rossiter,Liverpool,Midfielder,100,0.0,0,4.4
223,João Carlos Vilaça Teixeira,Liverpool,Midfielder,0,0.0,0,4.5
224,Oussama Assaidi,Liverpool,Midfielder,0,0.0,46,4.8
225,Emre Can,Liverpool,Midfielder,100,0.3,294,5.2
226,Adam Lallana,Liverpool,Midfielder,100,0.5,350,8.3
227,Daniel Sturridge,Liverpool,Forward,0,7.7,192,11.1
228,Iago Aspas,Liverpool,Forward,,0.0,0,6.0
229,Rickie Lambert,Liverpool,Forward,,1.8,163,6.8
230,Fabio Borini,Liverpool,Forward,100,0.2,53,6.0
231,Joe Hart,Man City,Goalkeeper,,7.0,414,6.1
232,Willy Caballero,Man City,Goalkeeper,,0.1,30,5.1
233,Aleksandar Kolarov,Man City,Defender,100,4.2,330,5.8
234,Micah Richards,Man City,Defender,0,0.1,0,4.9
235,Pablo Zabaleta,Man City,Defender,100,5.3,410,6.4
236,Vincent Kompany,Man City,Defender,100,8.5,246,6.4
237,Gaël Clichy,Man City,Defender,100,7.4,351,5.3
238,Karim Rekik,Man City,Defender,0,0.0,0,4.5
239,Matija Nastasic,Man City,Defender,0,0.2,0,5.1
240,Dedryck Boyata,Man City,Defender,100,0.1,16,4.2
241,Martín Demichelis,Man City,Defender,100,1.4,353,5.9
242,Bacary Sagna,Man City,Defender,100,1.3,106,5.1
243,Jack Rodwell,Sunderland,Midfielder,100,1.4,221,4.7
244,Samir Nasri,Man City,Midfielder,100,1.7,372,8.2
245,David Silva,Man City,Midfielder,100,24.9,742,9.8
246,Gnegneri Yaya Touré,Man City,Midfielder,100,6.9,595,10.8
247,James Milner,Man City,Midfielder,100,1.7,427,5.4
248,Francisco Javier García Fernández,Man City,Midfielder,0,0.1,0,4.5
249,Jesús Navas,Man City,Midfielder,100,1.1,460,7.2
250,Fernando Luiz Rosa,Man City,Midfielder,100,0.8,439,6.8
251,Scott Sinclair,Aston Villa,Midfielder,100,0.2,54,4.9
252,Fernando Francisco Reges,Man City,Midfielder,100,0.5,337,4.8
253,Edin Dzeko,Man City,Forward,100,3.7,202,7.9
254,Sergio Agüero,Man City,Forward,100,30.0,915,12.9
255,Álvaro Negredo,Man City,Forward,0,0.0,0,9.0
256,Stevan Jovetic,Man City,Forward,100,2.8,236,7.8
